Unnamed: 0,recording_id,intervals
0,FH2369_20220203_065726,"[[1643871502.0019999, 1643871808.0019999], [1643872772.001, 1643873257.001], [1643873259.0019999, 1643873870.0019999], [1643874769.001, 1643874831.001]]"
0,FH2369_20220202_095442,"[[1643795780.8769999, 1643796816.876], [1643797906.876, 1643797992.876], [1643798637.875, 1643798697.875], [1643798807.875, 1643799292.875], [1643799293.8769999, 1643800104.876]]"
0,FH2369_20220203_062552,"[[1643869905.911, 1643870370.911], [1643870493.911, 1643870624.91]]"
0,FH2467_20220201_164838,"[[1643734572.353, 1643734590.353]]"
0,FH2467_20220204_114016,"[[1643975477.428, 1643975737.428], [1643975986.427, 1643976317.427]]"
0,FH2467_20220210_092102,"[[1644485015.798, 1644485295.797], [1644485654.797, 1644485709.797], [1644486962.727, 1644487838.726], [1644493024.824, 1644493086.824], [1644494158.817, 1644494202.817], [1644494271.817, 1644494307.817]]"
0,FH2369_20220218_133112,"[[1645191319.499, 1645192882.498], [1645192883.5, 1645194682.498], [1645194683.499, 1645195300.499], [1645195448.499, 1645196482.498], [1645196483.5, 1645196846.499], [1645196879.499, 1645197960.498], [1645198037.498, 1645198047.498], [1645198120.498, 1645198282.498]]"
0,FM1073_20220207_142111,"[[1644244957.1, 1644245300.099]]"
0,FM1073_20220208_135639,"[[1644328816.1, 1644328886.1], [1644330274.099, 1644330406.0979998], [1644330492.1, 1644331108.1]]"
0,FH2369_20220218_082442,"[[1645172693.993, 1645173807.992]]"
0,FM1073_20220215_173448,"[[1644946904.085, 1644947019.085]]"
0,FM1073_20220216_155731,"[[1645027455.023, 1645027886.023]]"
0,FM1073_20220218_084300,"[[1645174241.092, 1645174777.092]]"
0,FM1073_20220218_102135,"[[1645179704.059, 1645179766.059]]"
0,FH2467_20220219_120736,"[[1645272470.304, 1645274269.302], [1645274270.2710001, 1645276069.2700002], [1645276070.3, 1645277869.299], [1645277870.277, 1645278094.277]]"
0,FH2467_20220302_135719,"[[1646229526.696, 1646230290.696]]"
0,FH2369_20220307_095507,"[[1646647059.457, 1646647068.457], [1646648667.456, 1646648717.456], [1646648762.458, 1646649019.457]]"
0,FH2369_20220309_161245,"[[1646842926.206, 1646842984.206]]"
0,FH2369_20220310_080956,"[[1646902256.625, 1646902576.625]]"
0,FH2369_20220311_074041,"[[1646984452.564, 1646984637.564], [1646987736.5619998, 1646988051.5619998]]"
